r1,r2,r3,r4,r5,r6,r7,shape
7.7299999999999995,13.83,16.56,17.1,16.07,7.470000000000001,21.23,Square
8.23,14.09,16.98,18.26,16.31,5.93,20.200000000000003,Diamond
8.19,14.48,17.29,18.18,15.89,5.94,20.02,Triangle
8.55,14.99,17.43,18.54,15.310000000000002,5.75,19.43,Square
8.4,14.49,17.119999999999997,18.060000000000002,15.690000000000001,6.370000000000001,19.88,Diamond
8.129999999999999,14.04,16.84,17.52,16.150000000000002,6.569999999999999,20.75,Diamond
8.21,14.540000000000001,17.2,18.2,15.28,6.950000000000001,19.61,Square
8.19,14.08,16.5,17.54,15.559999999999999,7.7,20.44,Square
7.68,13.919999999999998,16.96,18.12,15.329999999999998,7.6499999999999995,20.34,Round
8.18,14.469999999999999,16.96,17.48,15.879999999999999,6.74,20.29,Pear
8.35,14.030000000000001,16.36,17.37,16.5,6.75,20.65,Diamond
8.27,14.360000000000001,16.76,17.53,15.659999999999998,7.180000000000001,20.24,Square
7.920000000000001,14.09,16.96,17.76,15.83,7.42,20.02,Oblong
8.38,14.52,16.869999999999997,17.580000000000002,15.1,7.53,20.02,Square
7.88,14.05,16.76,17.740000000000002,16.21,5.94,21.41,Oblong
8.01,14.08,16.580000000000002,17.44,15.340000000000002,8.18,20.369999999999997,Triangle
8.260000000000002,14.280000000000001,16.72,17.72,15.690000000000001,7.35,19.99,Square
8.260000000000002,14.280000000000001,16.72,17.72,15.690000000000001,7.35,19.99,Oblong
8.260000000000002,14.280000000000001,16.72,17.72,15.690000000000001,7.35,19.99,Oval
7.95,14.030000000000001,16.68,17.560000000000002,14.87,8.799999999999999,20.11,Oval
8.260000000000002,14.540000000000001,17.169999999999998,18.11,15.36,6.81,19.77,Square
7.9799999999999995,14.31,16.75,17.86,15.27,7.969999999999999,19.869999999999997,Round
8.309999999999999,14.44,16.950000000000003,17.83,15.920000000000002,6.4,20.14,Oblong
8.21,14.59,17.31,18.22,15.939999999999998,6.01,19.73,Pear
8.34,14.44,16.77,17.990000000000002,15.98,6.6000000000000005,19.88,Round
8.129999999999999,14.2,16.74,17.71,15.73,7.539999999999999,19.950000000000003,Pear
7.91,14.099999999999998,16.96,18.22,15.1,7.539999999999999,20.169999999999998,Triangle
8.38,14.44,16.98,17.75,15.83,6.140000000000001,20.49,Diamond
8.43,15.0,17.57,18.64,15.340000000000002,5.65,19.38,Round
8.24,14.299999999999999,16.63,17.52,16.03,7.01,20.26,Oval
8.19,13.58,16.05,17.51,16.97,6.569999999999999,21.13,Triangle
8.9,15.85,17.79,18.2,14.649999999999999,6.38,18.240000000000002,Pear
8.49,14.92,17.2,17.82,14.85,7.430000000000001,19.3,Round
8.23,14.41,17.0,17.65,15.32,7.12,20.27,Oval
8.21,13.96,16.32,16.99,16.1,7.6899999999999995,20.73,Triangle
7.82,13.77,16.5,17.49,15.6,8.62,20.21,Square
8.44,14.57,17.32,18.39,15.5,5.94,19.85,Square
8.38,14.899999999999999,17.380000000000003,18.62,14.17,7.53,19.03,Round
8.09,13.750000000000002,16.17,17.39,15.770000000000001,7.9399999999999995,20.880000000000003,Triangle
8.1,13.94,16.57,17.7,16.470000000000002,6.22,21.0,Triangle
8.62,14.899999999999999,16.96,17.61,15.58,7.02,19.31,Square
7.960000000000001,13.900000000000002,16.34,17.299999999999997,16.18,7.580000000000001,20.74,Square
8.649999999999999,14.44,16.64,17.65,14.92,7.5,20.21,Square
8.66,15.290000000000001,17.41,17.990000000000002,15.45,5.88,19.32,Square
8.66,15.290000000000001,17.41,17.990000000000002,15.45,5.88,19.32,Square
8.41,14.979999999999999,17.47,18.19,15.57,5.8500000000000005,19.54,Round
8.219999999999999,13.77,16.17,17.09,16.63,7.01,21.099999999999998,Oval
7.66,13.69,16.49,17.8,15.68,8.07,20.599999999999998,Triangle
7.84,13.83,16.56,17.630000000000003,16.28,6.61,21.26,Triangle
8.04,13.919999999999998,16.34,17.03,16.08,7.86,20.74,Square
7.960000000000001,13.99,16.61,17.630000000000003,15.06,8.57,20.18,Oblong
7.86,13.74,16.28,17.27,15.770000000000001,8.21,20.87,Oval
8.03,13.919999999999998,16.59,17.549999999999997,15.909999999999998,7.8,20.19,Triangle
8.14,14.430000000000001,16.77,17.27,15.559999999999999,7.4399999999999995,20.4,Square
8.35,14.23,16.580000000000002,17.26,16.41,6.710000000000001,20.45,Oval
8.01,14.06,16.689999999999998,17.599999999999998,15.57,8.19,19.89,Oval
8.43,14.17,16.509999999999998,17.44,16.31,6.660000000000001,20.49,Square
7.449999999999999,13.22,16.009999999999998,16.869999999999997,17.01,7.7,21.740000000000002,Oval
8.08,14.030000000000001,16.61,17.73,16.88,6.140000000000001,20.54,Square
8.41,14.149999999999999,16.400000000000002,17.23,15.6,7.8100000000000005,20.4,Round
8.12,14.64,17.150000000000002,18.45,14.399999999999999,8.06,19.17,Square
8.57,14.469999999999999,16.509999999999998,17.150000000000002,16.400000000000002,6.23,20.669999999999998,Square
8.63,14.63,16.78,17.14,16.54,5.8500000000000005,20.43,Pear
8.03,14.330000000000002,17.37,18.240000000000002,15.7,5.71,20.62,Round
8.39,14.7,16.99,17.86,15.18,7.23,19.650000000000002,Round
7.9399999999999995,14.09,16.63,17.69,15.950000000000001,7.16,20.53,Square
8.129999999999999,14.06,16.470000000000002,17.07,15.409999999999998,8.39,20.47,Oval
8.52,14.49,16.84,17.72,16.36,5.779999999999999,20.29,Round
8.23,14.099999999999998,16.45,17.419999999999998,15.39,7.960000000000001,20.44,Square
8.08,13.889999999999999,16.439999999999998,17.16,15.82,7.75,20.86,Oblong
8.14,14.330000000000002,16.72,17.59,14.82,8.16,20.23,Square
